CMDLINE /usr/bin/python test.py
MEM 399.652344 1591189050.7746
MEM 400.167969 1591189050.8830
MEM 400.167969 1591189050.9907
MEM 400.167969 1591189051.0982
MEM 400.167969 1591189051.2052
MEM 400.167969 1591189051.3137
MEM 400.167969 1591189051.4218
MEM 400.167969 1591189051.5295
MEM 400.167969 1591189051.6365
MEM 400.484375 1591189051.7443
MEM 400.484375 1591189051.8518
MEM 400.742188 1591189051.9611
MEM 401.000000 1591189052.0681
MEM 401.000000 1591189052.1763
MEM 401.000000 1591189052.2835
MEM 401.000000 1591189052.3910
MEM 401.000000 1591189052.4982
MEM 401.000000 1591189052.6053
MEM 401.000000 1591189052.7157
MEM 401.000000 1591189052.8233
MEM 401.000000 1591189052.9338
MEM 401.000000 1591189053.0418
MEM 401.257812 1591189053.1490
MEM 401.257812 1591189053.2582
MEM 401.257812 1591189053.3663
MEM 401.257812 1591189053.4740
MEM 401.515625 1591189053.5813
MEM 401.515625 1591189053.7032
MEM 401.515625 1591189053.8195
MEM 401.515625 1591189053.9327
MEM 401.515625 1591189054.0450
MEM 401.515625 1591189054.1626
MEM 401.773438 1591189054.2763
MEM 401.773438 1591189054.3922
MEM 401.773438 1591189054.5064
MEM 401.773438 1591189054.6219
MEM 402.289062 1591189054.7301
MEM 402.289062 1591189054.8371
MEM 402.289062 1591189054.9459
MEM 402.804688 1591189055.0532
MEM 402.804688 1591189055.1630
MEM 402.804688 1591189055.2728
MEM 402.804688 1591189055.3813
MEM 402.804688 1591189055.4884
MEM 402.804688 1591189055.5980
MEM 402.804688 1591189055.7051
MEM 402.804688 1591189055.8128
MEM 402.804688 1591189055.9198
MEM 402.804688 1591189056.0290
MEM 402.804688 1591189056.1362
MEM 402.804688 1591189056.2441
MEM 402.804688 1591189056.3513
MEM 402.804688 1591189056.4598
MEM 402.804688 1591189056.5672
MEM 402.804688 1591189056.6751
MEM 402.804688 1591189056.7828
MEM 402.804688 1591189056.8911
MEM 402.804688 1591189056.9984
MEM 403.058594 1591189057.1062
MEM 403.058594 1591189057.2142
MEM 403.546875 1591189057.3215
MEM 403.546875 1591189057.4296
MEM 403.800781 1591189057.5368
MEM 403.800781 1591189057.6452
MEM 404.058594 1591189057.7524
MEM 404.058594 1591189057.8620
MEM 404.316406 1591189057.9692
MEM 404.316406 1591189058.0771
MEM 404.316406 1591189058.1844
MEM 404.316406 1591189058.2921
MEM 404.316406 1591189058.3995
MEM 404.574219 1591189058.5074
MEM 404.789062 1591189058.6153
MEM 405.296875 1591189058.7233
MEM 405.824219 1591189058.8313
MEM 405.824219 1591189058.9391
MEM 406.078125 1591189059.0467
MEM 406.078125 1591189059.1538
MEM 406.335938 1591189059.2619
MEM 406.335938 1591189059.3691
MEM 406.593750 1591189059.4774
MEM 406.851562 1591189059.5845
MEM 406.851562 1591189059.6938
MEM 407.109375 1591189059.8011
MEM 407.109375 1591189059.9089
MEM 407.109375 1591189060.0164
MEM 407.109375 1591189060.1245
MEM 407.367188 1591189060.2320
MEM 407.773438 1591189060.3399
MEM 407.773438 1591189060.4475
MEM 407.773438 1591189060.5547
MEM 407.773438 1591189060.6637
MEM 407.773438 1591189060.7710
MEM 407.773438 1591189060.8789
MEM 408.031250 1591189060.9870
MEM 408.031250 1591189061.0949
MEM 408.031250 1591189061.2021
MEM 408.546875 1591189061.3100
MEM 408.546875 1591189061.4175
MEM 408.804688 1591189061.5255
MEM 408.804688 1591189061.6326
MEM 408.804688 1591189061.7411
MEM 409.132812 1591189061.8488
MEM 409.132812 1591189061.9564
MEM 409.132812 1591189062.0639
MEM 409.644531 1591189062.1712
MEM 409.644531 1591189062.2797
MEM 409.644531 1591189062.3868
MEM 409.863281 1591189062.4960
MEM 409.863281 1591189062.6033
MEM 409.863281 1591189062.7128
MEM 409.863281 1591189062.8200
MEM 409.863281 1591189062.9282
MEM 409.863281 1591189063.0354
MEM 409.863281 1591189063.1432
MEM 409.863281 1591189063.2506
MEM 410.117188 1591189063.3587
MEM 410.117188 1591189063.4659
MEM 410.117188 1591189063.5744
MEM 410.117188 1591189063.6818
MEM 410.117188 1591189063.7896
MEM 410.117188 1591189063.8971
MEM 410.117188 1591189064.0042
MEM 410.117188 1591189064.1126
MEM 410.117188 1591189064.2197
MEM 410.351562 1591189064.3286
MEM 410.351562 1591189064.4358
MEM 410.351562 1591189064.5436
MEM 411.640625 1591189064.6509
MEM 411.640625 1591189064.7588
MEM 412.781250 1591189064.8666
MEM 414.378906 1591189064.9744
MEM 414.378906 1591189065.0821
MEM 414.636719 1591189065.1903
MEM 414.769531 1591189065.2977
MEM 414.769531 1591189065.4052
MEM 414.769531 1591189065.5139
MEM 414.769531 1591189065.6210
MEM 414.769531 1591189065.7293
MEM 415.023438 1591189065.8365
MEM 415.042969 1591189065.9444
MEM 415.042969 1591189066.0516
MEM 415.296875 1591189066.1606
MEM 416.484375 1591189066.2678
MEM 416.484375 1591189066.3755
MEM 416.484375 1591189066.4827
MEM 416.738281 1591189066.5906
MEM 416.738281 1591189066.6983
MEM 417.000000 1591189066.8057
MEM 417.000000 1591189066.9146
MEM 417.289062 1591189067.0222
MEM 417.289062 1591189067.1295
MEM 417.289062 1591189067.2365
MEM 417.289062 1591189067.3443
MEM 417.542969 1591189067.4516
MEM 417.582031 1591189067.5592
MEM 417.832031 1591189067.6665
MEM 417.832031 1591189067.7744
MEM 417.832031 1591189067.8822
MEM 417.832031 1591189067.9906
MEM 417.832031 1591189068.0981
MEM 417.832031 1591189068.2055
MEM 418.085938 1591189068.3129
MEM 418.601562 1591189068.4199
MEM 418.871094 1591189068.5280
MEM 419.125000 1591189068.6351
MEM 419.382812 1591189068.7431
MEM 419.640625 1591189068.8503
MEM 420.414062 1591189068.9586
MEM 420.902344 1591189069.0659
MEM 421.152344 1591189069.1736
MEM 421.152344 1591189069.2811
MEM 421.152344 1591189069.3885
MEM 421.152344 1591189069.4966
MEM 421.152344 1591189069.6037
MEM 421.152344 1591189069.7132
MEM 421.406250 1591189069.8204
MEM 421.406250 1591189069.9280
MEM 421.406250 1591189070.0350
MEM 421.406250 1591189070.1428
MEM 421.421875 1591189070.2503
MEM 421.921875 1591189070.3580
MEM 422.175781 1591189070.4657
MEM 422.925781 1591189070.5738
MEM 423.425781 1591189070.6822
MEM 423.925781 1591189070.7903
MEM 424.695312 1591189070.8977
MEM 425.468750 1591189071.0052
MEM 426.558594 1591189071.1130
MEM 431.968750 1591189071.2202
MEM 435.578125 1591189071.3284
MEM 437.898438 1591189071.4355
MEM 437.898438 1591189071.5442
MEM 438.156250 1591189071.6515
MEM 438.156250 1591189071.7595
MEM 438.156250 1591189071.8670
MEM 438.156250 1591189071.9747
MEM 438.156250 1591189072.0822
MEM 438.671875 1591189072.1898
MEM 438.554688 1591189072.2978
MEM 438.554688 1591189072.4055
MEM 440.871094 1591189072.5130
MEM 440.871094 1591189072.6204
MEM 440.871094 1591189072.7284
MEM 440.871094 1591189072.8354
MEM 441.128906 1591189072.9432
MEM 441.562500 1591189073.0506
MEM 441.562500 1591189073.1587
MEM 441.562500 1591189073.2658
MEM 441.835938 1591189073.3741
MEM 441.835938 1591189073.4814
MEM 441.835938 1591189073.5889
MEM 441.835938 1591189073.6971
MEM 442.089844 1591189073.8048
MEM 442.089844 1591189073.9127
MEM 442.390625 1591189074.0198
MEM 442.390625 1591189074.1284
MEM 442.390625 1591189074.2356
MEM 442.390625 1591189074.3434
MEM 442.390625 1591189074.4507
MEM 444.191406 1591189074.5587
MEM 444.191406 1591189074.6662
MEM 444.808594 1591189074.7741
MEM 445.582031 1591189074.8821
MEM 448.675781 1591189074.9902
MEM 448.902344 1591189075.0979
MEM 448.902344 1591189075.2054
MEM 448.902344 1591189075.3129
MEM 448.902344 1591189075.4202
MEM 448.902344 1591189075.5281
MEM 448.902344 1591189075.6353
MEM 448.902344 1591189075.7434
MEM 449.253906 1591189075.8505
MEM 449.253906 1591189075.9589
MEM 449.253906 1591189076.0661
MEM 449.507812 1591189076.1742
MEM 449.507812 1591189076.2815
MEM 449.765625 1591189076.3892
MEM 450.027344 1591189076.4970
MEM 450.277344 1591189076.6045
MEM 450.277344 1591189076.7125
MEM 450.789062 1591189076.8197
MEM 450.789062 1591189076.9276
MEM 450.644531 1591189077.0347
MEM 450.644531 1591189077.1422
MEM 450.644531 1591189077.2496
MEM 450.644531 1591189077.3572
MEM 450.644531 1591189077.4647
MEM 450.644531 1591189077.5721
MEM 450.644531 1591189077.6808
MEM 450.644531 1591189077.7883
MEM 450.644531 1591189077.8963
MEM 450.644531 1591189078.0034
MEM 450.644531 1591189078.1112
MEM 450.644531 1591189078.2194
MEM 450.644531 1591189078.3272
MEM 450.644531 1591189078.4350
MEM 450.644531 1591189078.5432
MEM 450.644531 1591189078.6502
MEM 450.644531 1591189078.7582
MEM 450.644531 1591189078.8656
MEM 450.644531 1591189078.9733
MEM 450.644531 1591189079.0806
MEM 450.644531 1591189079.1881
MEM 450.644531 1591189079.2962
MEM 450.644531 1591189079.4032
MEM 450.644531 1591189079.5122
MEM 450.644531 1591189079.6193
MEM 450.644531 1591189079.7269
MEM 450.644531 1591189079.8339
MEM 450.644531 1591189079.9415
MEM 450.644531 1591189080.0490
MEM 450.644531 1591189080.1565
MEM 450.679688 1591189080.2645
MEM 450.679688 1591189080.3721
MEM 450.679688 1591189080.4798
MEM 450.679688 1591189080.5874
MEM 450.679688 1591189080.6952
MEM 450.679688 1591189080.8022
MEM 450.679688 1591189080.9100
MEM 453.617188 1591189081.0194
MEM 454.273438 1591189081.1279
MEM 454.273438 1591189081.2354
MEM 453.128906 1591189081.3444
