CMDLINE /usr/bin/python test.py
MEM 1.660156 1591189037.4165
MEM 24.507812 1591189037.5246
MEM 38.093750 1591189037.6320
MEM 50.515625 1591189037.7455
MEM 140.882812 1591189037.8526
MEM 165.578125 1591189037.9611
MEM 180.605469 1591189038.0706
MEM 189.425781 1591189038.1878
MEM 197.816406 1591189038.2983
MEM 209.156250 1591189038.4053
MEM 227.371094 1591189038.5139
MEM 230.429688 1591189038.6263
MEM 243.726562 1591189038.7413
MEM 252.945312 1591189038.8555
MEM 259.562500 1591189038.9786
MEM 264.007812 1591189039.0964
MEM 271.503906 1591189039.2157
MEM 273.457031 1591189039.3529
MEM 275.957031 1591189039.4681
MEM 280.359375 1591189039.5930
MEM 284.667969 1591189039.7074
MEM 309.968750 1591189039.8261
MEM 316.636719 1591189039.9438
MEM 344.503906 1591189040.0591
MEM 353.230469 1591189040.1670
MEM 354.218750 1591189040.2752
MEM 370.468750 1591189040.3836
MEM 376.722656 1591189040.4922
MEM 377.257812 1591189040.6006
MEM 379.667969 1591189040.7094
MEM 382.250000 1591189040.8165
MEM 384.105469 1591189040.9243
MEM 385.375000 1591189041.0329
MEM 385.890625 1591189041.1405
MEM 387.437500 1591189041.2503
MEM 387.648438 1591189041.3591
MEM 387.648438 1591189041.4670
MEM 387.648438 1591189041.5746
MEM 387.648438 1591189041.6816
MEM 387.804688 1591189041.7887
MEM 387.832031 1591189041.8968
MEM 387.832031 1591189042.0041
MEM 387.898438 1591189042.1133
MEM 387.917969 1591189042.2205
MEM 387.917969 1591189042.3302
MEM 387.917969 1591189042.4414
MEM 387.917969 1591189042.5494
MEM 387.917969 1591189042.6589
MEM 387.917969 1591189042.7661
MEM 387.917969 1591189042.8737
MEM 387.917969 1591189042.9810
MEM 387.917969 1591189043.0888
MEM 387.917969 1591189043.1981
MEM 388.171875 1591189043.3052
MEM 388.683594 1591189043.4144
MEM 389.144531 1591189043.5216
MEM 389.507812 1591189043.6310
MEM 389.761719 1591189043.7383
MEM 389.761719 1591189043.8460
MEM 390.074219 1591189043.9531
MEM 390.339844 1591189044.0612
MEM 390.593750 1591189044.1693
MEM 391.480469 1591189044.2771
MEM 392.042969 1591189044.3851
MEM 392.609375 1591189044.4942
MEM 392.609375 1591189044.6032
MEM 392.867188 1591189044.7128
MEM 393.105469 1591189044.8201
MEM 393.371094 1591189044.9277
MEM 393.371094 1591189045.0349
MEM 393.371094 1591189045.1433
MEM 393.371094 1591189045.2517
MEM 393.625000 1591189045.3607
MEM 393.625000 1591189045.4694
MEM 393.625000 1591189045.5781
MEM 393.882812 1591189045.6862
MEM 393.882812 1591189045.7940
MEM 393.882812 1591189045.9026
MEM 393.882812 1591189046.0110
MEM 394.195312 1591189046.1182
MEM 394.195312 1591189046.2279
MEM 394.195312 1591189046.3360
MEM 394.453125 1591189046.4451
MEM 394.710938 1591189046.5534
MEM 394.968750 1591189046.6625
MEM 395.484375 1591189046.7707
MEM 395.484375 1591189046.8820
MEM 395.746094 1591189046.9907
MEM 395.746094 1591189047.0978
MEM 395.996094 1591189047.2050
MEM 395.996094 1591189047.3130
MEM 396.253906 1591189047.4210
MEM 396.253906 1591189047.5305
MEM 396.515625 1591189047.6383
MEM 396.769531 1591189047.7481
MEM 396.769531 1591189047.8573
MEM 396.769531 1591189047.9656
MEM 396.769531 1591189048.0735
MEM 396.769531 1591189048.1819
MEM 396.769531 1591189048.2912
MEM 396.769531 1591189048.3987
MEM 396.769531 1591189048.5062
MEM 397.035156 1591189048.6140
MEM 397.035156 1591189048.7211
MEM 397.304688 1591189048.8297
MEM 397.558594 1591189048.9369
MEM 397.812500 1591189049.0465
MEM 398.070312 1591189049.1536
MEM 398.070312 1591189049.2621
MEM 398.328125 1591189049.3693
MEM 398.328125 1591189049.4772
MEM 398.328125 1591189049.5850
MEM 398.328125 1591189049.6927
MEM 398.328125 1591189049.8018
MEM 398.328125 1591189049.9104
MEM 398.328125 1591189050.0191
MEM 398.328125 1591189050.1282
MEM 398.328125 1591189050.2353
MEM 398.328125 1591189050.3428
MEM 398.585938 1591189050.4498
MEM 398.843750 1591189050.5575
MEM 399.136719 1591189050.6671
